CaneID,30-Oct,1-Nov,5-Nov,7-Nov,11-Nov,14-Nov,,18-Nov,,21-Nov,,25-Nov,,28-Nov,,2-Dec,,,,,,
1193,,,,,3,10,,13,,14,2,16,x,,,,,,,,,
1194,,,,,4,4,,9,,16,5,20,1,21,x,,,,,,,
1195,,,,,,0,,6,,10,4,14,x,,,,,,,,,
1196,,,,,13,20,,20,,21,x,,,,,,,,,,,
1197,,,,,1,1,,4,,7,2,8,1,8,1,9,x,,,,,
1198,,,,,2,10,,21,,21,1,22,x,,,,,,,,,
1199,,,,,1,4,,11,,11,x,,,,,,,,,,,
1200,,,,,15,30,,35,,35,x,,,,,,,,,,,
1201,,,,,1,1,,4,,16,7,22,1,23,x,,,,,,,
1202,,,,,,0,,12,,16,1,17,x,,,,,,,,,
1203,,,,,4,11,,29,,33,1,34,x,,,,,,,,,
1204,,,,,,0,,3,,18,15,31,2,33,x,,,,,,,
1205,,,,,,0,,7,,12,1,13,x,,,,,,,,,
1206,,,,,,0,,6,,13,8,23,x,,,,,,,,,
1207,,,,,,1,,15,,18,7,25,2,27,x,,,,,,,
1208,,,,,,6,,9,,14,4,18,x,,,,,,,,,
1209,,,,,4,8,,15,,17,1,18,x,,,,,,,,,
1210,,,,,,4,,8,,17,3,19,1,20,x,,,,,,,
1211,,,,,,2,,10,,11,3,14,x,,,,,,,,,
1212,,,,,7,8,,21,,24,6,29,1,29,1,30,x,,,,,
1213,,,,,9,14,,15,,17,5,22,x,,,,,,,,,
1214,,,,,5,14,,20,,23,2,25,x,,,,,,,,,
1215,,,,,18,20,,25,,26,x,,,,,,,,,,,
1216,,,,,,0,,26,,34,1,35,x,,,,,,,,,
1241,,,0,,,0,,17,,27,,30,,33,x,,,,,,,
1242,,,0,,,2,,7,,8,,19,,21,x,,,,,,,
1243,,,0,,2,3,,10,,14,,17,,18,1,19,x,,,,,
1244,,,0,,,1,,15,,25,,36,,38,x,,,,,,,
1245,,,0,,,3,,17,,22,,23,,23,x,,,,,,,
1246,,,0,,3,6,,17,,26,,36,,36,x,,,,,,,
1247,,,0,,1,6,,16,,22,,23,x,,,,,,,,,
1248,,,0,,,2,,4,,7,,14,,15,x,,,,,,,
1249,,,0,,,2,,22,,28,,29,2,29,x,,,,,,,
1250,,,0,,,10,,25,,26,,29,x,,,,,,,,,
1251,,,0,,,1,,10,,16,,23,1,24,x,,,,,,,
1252,,,0,,3,3,,7,,8,,14,,14,x,,,,,,,
1253,,,,,,9,,23,,32,,36,,36,x,,,,,,,
1254,,,,,,19,,28,,30,,30,x,,,,,,,,,
1255,,,,,1,11,,28,,31,,33,x,,,,,,,,,
1256,,,,,1,6,,16,,24,,43,,45,x,,,,,,,
1257,,,,,,4,,18,,28,,30,x,,,,,,,,,
