CaneID,Treatment,30-Aug,4-Sep,9-Sep,12-Sep,16-Sep,19-Sep,23-Sep,26-Sep,30-Sep,3-Oct,7-Oct,x,Max,30/08/2019a,4/09/2019a,9/09/2019a,12/09/2019a,16/09/2019a,19/09/2019a,23/09/2019a,26/09/2019a,30/09/2019a,3/10/2019a,7/10/2019a,30/08/2019b,4/09/2019b,9/09/2019b,12/09/2019b,16/09/2019b,19/09/2019b,23/09/2019b,26/09/2019b,30/09/2019b,3/10/2019b,7/10/2019b,,,,,,,,,,,,,,,,,,,,,,,,,
1398,Untreated control,,,,2,2,6,8,9,10,10,11,x,11,,,,0.181818182,0.181818182,0.545454545,0.727272727,0.818181818,0.909090909,0.909090909,1,0,0,0,0.181818182,0.181818182,0.545454545,0.727272727,0.818181818,0.909090909,0.909090909,1,,,,,,,,,,,,,,,,,,,,,,,,,
1399,6% HiCane                                        L,,,,3,4,6,15,15,20,x,,,20,,,,0.15,0.2,0.3,0.75,0.75,1,1,1,0,0,0,0.15,0.2,0.3,0.75,0.75,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
1400,Budup 1% + AB 2%                         L,,,,,1,1,1,4,7,11,15,,15,,,,,0.066666667,0.066666667,0.066666667,0.266666667,0.466666667,0.733333333,1,0,0,0,0,0.066666667,0.066666667,0.066666667,0.266666667,0.466666667,0.733333333,1,,,,,,,,,,,,,,,,,,,,,,,,,
1401,Budup 4% + AB 2%                         L,,,,,0,0,1,3,12,18,19,,19,,,,,0,0,0.052631579,0.157894737,0.631578947,0.947368421,1,0,0,0,0,0,0,0.052631579,0.157894737,0.631578947,0.947368421,1,,,,,,,,,,,,,,,,,,,,,,,,,
1402,Budup 4% + AB 2%                        E,,,,,0,2,2,5,12,14,17,x,17,,,,,0,0.117647059,0.117647059,0.294117647,0.705882353,0.823529412,1,0,0,0,0,0,0.117647059,0.117647059,0.294117647,0.705882353,0.823529412,1,,,,,,,,,,,,,,,,,,,,,,,,,
1403,Budup 2% + AB 2%                       VL,,,,,0,1,1,5,14,20,x,,20,,,,,0,0.05,0.05,0.25,0.7,1,1,0,0,0,0,0,0.05,0.05,0.25,0.7,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
1404,6% HiCane + 0.2% Driftstop E         ,,,4,10,10,18,25,27,27,x,,,27,,,0.148148148,0.37037037,0.37037037,0.666666667,0.925925926,1,1,1,1,0,0,0.148148148,0.37037037,0.37037037,0.666666667,0.925925926,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
1405,Budup Lonza 4% + AB 2%           M,,,,,0,1,1,5,15,15,19,,19,,,,,0,0.052631579,0.052631579,0.263157895,0.789473684,0.789473684,1,0,0,0,0,0,0.052631579,0.052631579,0.263157895,0.789473684,0.789473684,1,,,,,,,,,,,,,,,,,,,,,,,,,
1406,Budup 6% + AB 2%                         L,,,,1,1,1,2,5,9,12,x,,12,,,,0.083333333,0.083333333,0.083333333,0.166666667,0.416666667,0.75,1,1,0,0,0,0.083333333,0.083333333,0.083333333,0.166666667,0.416666667,0.75,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
1407,Budup 1% + AB 2%                        E,,,,,1,1,2,4,9,10,12,,12,,,,,0.083333333,0.083333333,0.166666667,0.333333333,0.75,0.833333333,1,0,0,0,0,0.083333333,0.083333333,0.166666667,0.333333333,0.75,0.833333333,1,,,,,,,,,,,,,,,,,,,,,,,,,
1408,6% HiCane                                      VL,,,,,0,0,0,0,4,7,10,,10,,,,,0,0,0,0,0.4,0.7,1,0,0,0,0,0,0,0,0,0.4,0.7,1,,,,,,,,,,,,,,,,,,,,,,,,,
1409,Budup 4% + AB 2%                       VL,,,,,0,0,1,1,12,22,26,,26,,,,,0,0,0.038461538,0.038461538,0.461538462,0.846153846,1,0,0,0,0,0,0,0.038461538,0.038461538,0.461538462,0.846153846,1,,,,,,,,,,,,,,,,,,,,,,,,,
1410,Budup 4% + AB 2%                         L,,,,,0,0,8,13,33,38,x,,38,,,,,0,0,0.210526316,0.342105263,0.868421053,1,1,0,0,0,0,0,0,0.210526316,0.342105263,0.868421053,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
1411,6% HiCane                                        L,,,,,0,2,17,21,27,30,x,,30,,,,,0,0.066666667,0.566666667,0.7,0.9,1,1,0,0,0,0,0,0.066666667,0.566666667,0.7,0.9,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
1412,Budup 2% + AB 2%                        E,,,,,3,7,9,12,x,,,,12,,,,,0.25,0.583333333,0.75,1,1,1,1,0,0,0,0,0.25,0.583333333,0.75,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
1413,6% HiCane                                       M,,,,4,7,8,9,9,x,,,,9,,,,0.444444444,0.777777778,0.888888889,1,1,1,1,1,0,0,0,0.444444444,0.777777778,0.888888889,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
1414,Budup 1% + AB 2%                         L,,,,,0,0,4,7,13,x,,,13,,,,,0,0,0.307692308,0.538461538,1,1,1,0,0,0,0,0,0,0.307692308,0.538461538,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
1415,Budup Lonza 4% + AB 2%           M,,,,,0,0,1,4,14,21,22,x,22,,,,,0,0,0.045454545,0.181818182,0.636363636,0.954545455,1,0,0,0,0,0,0,0.045454545,0.181818182,0.636363636,0.954545455,1,,,,,,,,,,,,,,,,,,,,,,,,,
1416,Untreated control,,,,1,1,2,2,2,10,14,17,,17,,,,0.058823529,0.058823529,0.117647059,0.117647059,0.117647059,0.588235294,0.823529412,1,0,0,0,0.058823529,0.058823529,0.117647059,0.117647059,0.117647059,0.588235294,0.823529412,1,,,,,,,,,,,,,,,,,,,,,,,,,
1417,2% AB                                                M,,,,,0,0,0,6,20,x,,,20,,,,,0,0,0,0.3,1,1,1,0,0,0,0,0,0,0,0.3,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
1418,Budup 1% + AB 2%                       VL,,,,,0,0,1,3,7,16,18,x,18,,,,,0,0,0.055555556,0.166666667,0.388888889,0.888888889,1,0,0,0,0,0,0,0.055555556,0.166666667,0.388888889,0.888888889,1,,,,,,,,,,,,,,,,,,,,,,,,,
1419,Budup 6% + AB 2%                       VL,,,,,0,1,1,2,9,11,12,,12,,,,,0,0.083333333,0.083333333,0.166666667,0.75,0.916666667,1,0,0,0,0,0,0.083333333,0.083333333,0.166666667,0.75,0.916666667,1,,,,,,,,,,,,,,,,,,,,,,,,,
1420,Budup 6% + AB 2%                        E,,1,1,1,1,2,16,22,27,x,,,27,,0.037037037,0.037037037,0.037037037,0.037037037,0.074074074,0.592592593,0.814814815,1,1,1,0,0.037037037,0.037037037,0.037037037,0.037037037,0.074074074,0.592592593,0.814814815,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
1421,Budup 2% + AB 2%                        M,,,,,0,0,0,5,16,x,,,16,,,,,0,0,0,0.3125,1,1,1,0,0,0,0,0,0,0,0.3125,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
1422,Budup 6% + AB 2%                        M,,,,,0,0,2,5,24,x,,,24,,,,,0,0,0.083333333,0.208333333,1,1,1,0,0,0,0,0,0,0.083333333,0.208333333,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
1423,6% HiCane + 0.2% Driftstop E         ,,,2,7,16,19,23,24,x,,,,24,,,0.083333333,0.291666667,0.666666667,0.791666667,0.958333333,1,1,1,1,0,0,0.083333333,0.291666667,0.666666667,0.791666667,0.958333333,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
1424,Budup 6% + AB 2%                         L,,,1,1,1,2,6,6,15,16,20,,20,,,0.05,0.05,0.05,0.1,0.3,0.3,0.75,0.8,1,0,0,0.05,0.05,0.05,0.1,0.3,0.3,0.75,0.8,1,,,,,,,,,,,,,,,,,,,,,,,,,
1425,Budup 1% + AB 2%                        E,,,,,0,2,11,17,20,x,,,20,,,,,0,0.1,0.55,0.85,1,1,1,0,0,0,0,0,0.1,0.55,0.85,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
1426,Budup 4% + AB 2%                        E,,,,,0,0,3,3,7,15,x,,15,,,,,0,0,0.2,0.2,0.466666667,1,1,0,0,0,0,0,0,0.2,0.2,0.466666667,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
1427,Budup 4% + AB 2%                        M,,,,,0,1,2,8,14,16,x,,16,,,,,0,0.0625,0.125,0.5,0.875,1,1,0,0,0,0,0,0.0625,0.125,0.5,0.875,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
1428,Budup 2% + AB 2%                         L,,,,,0,0,1,5,12,14,19,x,19,,,,,0,0,0.052631579,0.263157895,0.631578947,0.736842105,1,0,0,0,0,0,0,0.052631579,0.263157895,0.631578947,0.736842105,1,,,,,,,,,,,,,,,,,,,,,,,,,
1429,Budup 2% + AB 2%                       VL,,,,,0,0,3,3,17,20,21,,21,,,,,0,0,0.142857143,0.142857143,0.80952381,0.952380952,1,0,0,0,0,0,0,0.142857143,0.142857143,0.80952381,0.952380952,1,,,,,,,,,,,,,,,,,,,,,,,,,
1430,Untreated control,,,,,0,1,3,4,9,12,15,,15,,,,,0,0.066666667,0.2,0.266666667,0.6,0.8,1,0,0,0,0,0,0.066666667,0.2,0.266666667,0.6,0.8,1,,,,,,,,,,,,,,,,,,,,,,,,,
1431,6% HiCane                                      VL,,,,,0,0,0,3,8,9,13,x,13,,,,,0,0,0,0.230769231,0.615384615,0.692307692,1,0,0,0,0,0,0,0,0.230769231,0.615384615,0.692307692,1,,,,,,,,,,,,,,,,,,,,,,,,,
1432,Budup 1% + AB 2%                        M,,,,,0,0,0,0,8,14,14,,14,,,,,0,0,0,0,0.571428571,1,1,0,0,0,0,0,0,0,0,0.571428571,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
1433,Budup Lonza 4% + AB 2%           M,,,,,0,0,10,10,16,18,20,x,20,,,,,0,0,0.5,0.5,0.8,0.9,1,0,0,0,0,0,0,0.5,0.5,0.8,0.9,1,,,,,,,,,,,,,,,,,,,,,,,,,
1434,Budup 2% + AB 2%                        E,,,,1,1,2,7,7,12,14,x,,14,,,,0.071428571,0.071428571,0.142857143,0.5,0.5,0.857142857,1,1,0,0,0,0.071428571,0.071428571,0.142857143,0.5,0.5,0.857142857,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
1435,6% HiCane                                        L,,,,,2,3,14,17,21,x,,,21,,,,,0.095238095,0.142857143,0.666666667,0.80952381,1,1,1,0,0,0,0,0.095238095,0.142857143,0.666666667,0.80952381,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
1436,Budup 6% + AB 2%                         L,,,,,0,2,6,7,14,x,,,14,,,,,0,0.142857143,0.428571429,0.5,1,1,1,0,0,0,0,0,0.142857143,0.428571429,0.5,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
1437,Budup 6% + AB 2%                        M,,,,1,1,3,12,13,16,x,,,16,,,,0.0625,0.0625,0.1875,0.75,0.8125,1,1,1,0,0,0,0.0625,0.0625,0.1875,0.75,0.8125,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
1438,Budup 1% + AB 2%                       VL,,,,,0,0,1,2,16,18,21,x,21,,,,,0,0,0.047619048,0.095238095,0.761904762,0.857142857,1,0,0,0,0,0,0,0.047619048,0.095238095,0.761904762,0.857142857,1,,,,,,,,,,,,,,,,,,,,,,,,,
1439,Budup 6% + AB 2%                       VL,,,,,0,0,5,6,10,12,x,,12,,,,,0,0,0.416666667,0.5,0.833333333,1,1,0,0,0,0,0,0,0.416666667,0.5,0.833333333,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
1440,Budup 1% + AB 2%                         L,,,,,0,2,5,5,16,x,,,16,,,,,0,0.125,0.3125,0.3125,1,1,1,0,0,0,0,0,0.125,0.3125,0.3125,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
1441,Budup 1% + AB 2%                        E,,,2,3,4,8,11,11,12,x,,,12,,,0.166666667,0.25,0.333333333,0.666666667,0.916666667,0.916666667,1,1,1,0,0,0.166666667,0.25,0.333333333,0.666666667,0.916666667,0.916666667,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
1442,2% AB                                                M,,,,1,2,2,9,13,20,x,,,20,,,,0.05,0.1,0.1,0.45,0.65,1,1,1,0,0,0,0.05,0.1,0.1,0.45,0.65,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
1443,Untreated control,,,1,1,1,2,6,10,12,x,,,12,,,0.083333333,0.083333333,0.083333333,0.166666667,0.5,0.833333333,1,1,1,0,0,0.083333333,0.083333333,0.083333333,0.166666667,0.5,0.833333333,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
1444,Untreated control,,,,,0,1,7,8,15,16,19,x,19,,,,,0,0.052631579,0.368421053,0.421052632,0.789473684,0.842105263,1,0,0,0,0,0,0.052631579,0.368421053,0.421052632,0.789473684,0.842105263,1,,,,,,,,,,,,,,,,,,,,,,,,,
1445,Budup 1% + AB 2%                        M,,,1,1,1,1,9,12,14,16,x,,16,,,0.0625,0.0625,0.0625,0.0625,0.5625,0.75,0.875,1,1,0,0,0.0625,0.0625,0.0625,0.0625,0.5625,0.75,0.875,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
1446,Budup 4% + AB 2%                        E,,,1,2,3,7,13,13,15,20,21,x,21,,,0.047619048,0.095238095,0.142857143,0.333333333,0.619047619,0.619047619,0.714285714,0.952380952,1,0,0,0.047619048,0.095238095,0.142857143,0.333333333,0.619047619,0.619047619,0.714285714,0.952380952,1,,,,,,,,,,,,,,,,,,,,,,,,,
1447,6% HiCane                                      VL,,,,,1,2,4,7,12,14,17,,17,,,,,0.058823529,0.117647059,0.235294118,0.411764706,0.705882353,0.823529412,1,0,0,0,0,0.058823529,0.117647059,0.235294118,0.411764706,0.705882353,0.823529412,1,,,,,,,,,,,,,,,,,,,,,,,,,
1448,Budup 2% + AB 2%                         L,,,,,0,1,4,8,13,x,,,13,,,,,0,0.076923077,0.307692308,0.615384615,1,1,1,0,0,0,0,0,0.076923077,0.307692308,0.615384615,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
1449,6% HiCane                                       M,,,1,1,7,11,15,15,x,,,,15,,,0.066666667,0.066666667,0.466666667,0.733333333,1,1,1,1,1,0,0,0.066666667,0.066666667,0.466666667,0.733333333,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
1450,Budup 2% + AB 2%                       VL,,,,,0,0,1,2,4,8,8,,8,,,,,0,0,0.125,0.25,0.5,1,1,0,0,0,0,0,0,0.125,0.25,0.5,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
1451,Budup 4% + AB 2%                        M,,,,,0,0,5,8,16,x,,,16,,,,,0,0,0.3125,0.5,1,1,1,0,0,0,0,0,0,0.3125,0.5,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
1452,Budup 4% + AB 2%                       VL,,,,,0,0,2,5,15,19,x,,19,,,,,0,0,0.105263158,0.263157895,0.789473684,1,1,0,0,0,0,0,0,0.105263158,0.263157895,0.789473684,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
1453,Budup 4% + AB 2%                         L,,,,,0,0,0,1,12,18,20,,20,,,,,0,0,0,0.05,0.6,0.9,1,0,0,0,0,0,0,0,0.05,0.6,0.9,1,,,,,,,,,,,,,,,,,,,,,,,,,
1454,Budup 6% + AB 2%                        E,,,,,0,2,6,9,17,24,26,,26,,,,,0,0.076923077,0.230769231,0.346153846,0.653846154,0.923076923,1,0,0,0,0,0,0.076923077,0.230769231,0.346153846,0.653846154,0.923076923,1,,,,,,,,,,,,,,,,,,,,,,,,,
1455,Budup 2% + AB 2%                        M,,,,,0,3,14,17,19,x,,,19,,,,,0,0.157894737,0.736842105,0.894736842,1,1,1,0,0,0,0,0,0.157894737,0.736842105,0.894736842,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
1456,6% HiCane + 0.2% Driftstop E         ,,2,5,8,12,19,21,22,x,,,,22,,0.090909091,0.227272727,0.363636364,0.545454545,0.863636364,0.954545455,1,1,1,1,0,0.090909091,0.227272727,0.363636364,0.545454545,0.863636364,0.954545455,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
1457,Untreated control,,,1,2,4,6,8,9,10,x,,,10,,,0.1,0.2,0.4,0.6,0.8,0.9,1,1,1,0,0,0.1,0.2,0.4,0.6,0.8,0.9,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
1458,Budup 1% + AB 2%                         L,,,,,0,0,6,12,20,x,,,20,,,,,0,0,0.3,0.6,1,1,1,0,0,0,0,0,0,0.3,0.6,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
